OrientedBoundingBox
frame,obb_id,class_id,corner_x1,corner_y1,corner_x2,corner_y2,corner_x3,corner_y3,corner_x4,corner_y4
277,0,2,1766.55,1156.74,1916.75,1139.93,1932.93,1284.41,1782.72,1301.23
277,1,2,1949.21,929.038,1805.17,950.896,1782.72,802.967,1926.76,781.109
279,0,2,1783.5,798.579,1926.98,778.963,1947.5,929.073,1804.02,948.69
279,1,2,1768.25,1156.81,1919.02,1141.12,1934.05,1285.53,1783.28,1301.23
288,0,2,1762.91,1193.39,1890.14,1125.57,1959.27,1255.27,1832.04,1323.08
288,1,2,1782.72,804.088,1926.76,782.23,1948.08,922.739,1804.04,944.597
376,0,2,1778.09,975.231,1729.37,839.763,1874.18,787.682,1922.9,923.149
376,1,2,1739.27,1177.77,1880.21,1145.04,1914.64,1293.33,1773.7,1326.06
422,0,2,1453.25,1465.7,1381.77,1335.74,1507.58,1266.54,1579.06,1396.5
422,1,0,1710.55,641.857,1863.2,642.605,1862.38,809.403,1709.74,808.655
436,0,0,1273.51,1137.29,1432.73,1135.07,1434.88,1289.01,1275.65,1291.23
436,1,0,1707.17,643.884,1860.4,641.49,1862.96,805.426,1709.73,807.82
466,0,0,1642.14,1133.3,1794.58,1134.88,1792.98,1289.51,1640.54,1287.93
466,1,2,1731.15,847.756,1860.26,782.984,1926.87,915.77,1797.77,980.541
484,0,2,1564.43,1146.74,1707.78,1162.82,1691.26,1310.05,1547.91,1293.97
484,1,2,1731.14,845.632,1861.33,781.749,1927.14,915.859,1796.95,979.742
531,0,0,1692.5,1126.87,1845.58,1130.5,1841.89,1286.42,1688.8,1282.79
531,1,0,1732.11,775.814,1885.69,779.814,1881.5,940.616,1727.92,936.617
541,0,0,1734.11,1135.18,1889.39,1133.52,1891.02,1285.52,1735.74,1287.19
541,1,0,1729.2,775.917,1883.6,777.691,1881.76,937.533,1727.37,935.758
582,0,0,1737.09,1132.73,1892.55,1133.74,1891.55,1287.61,1736.09,1286.6
582,1,0,1724.11,778.051,1879.01,776.052,1881.06,934.983,1726.16,936.981
582,2,1,1275.61,1036.44,1372.3,1038.58,1370.16,1135.28,1273.47,1133.15
590,0,1,1538.55,876.459,1632.92,877.631,1631.73,973.164,1537.36,971.992
590,1,0,1729.12,775.649,1884.44,778.58,1881.42,938.582,1726.1,935.651
590,2,0,1735.79,1134.51,1891.18,1134.05,1891.64,1286.71,1736.24,1287.17
595,0,2,1591.32,1296.85,1735.42,1286.87,1745.82,1437.09,1601.72,1447.07
596,0,2,1602.36,1447.96,1592.8,1295.43,1736.54,1286.42,1746.1,1438.94
596,1,1,1537.73,971.502,1536.45,876.247,1630.93,874.97,1632.22,970.225
596,2,0,1727.65,773.413,1879.54,774.056,1878.85,937.39,1726.96,936.747
600,0,2,1601.38,1447.45,1591.27,1296.01,1735.02,1286.41,1745.13,1437.85
600,1,2,1799.65,864.764,1701.31,757.238,1807.86,659.781,1906.21,767.307
600,2,1,1536.68,876.559,1630.88,876.559,1630.88,970.754,1536.68,970.754
610,0,1,1767.58,1105.28,1867.6,1107.5,1865.43,1205.03,1765.42,1202.81
610,1,0,1427.5,1159.44,1579.99,1161.62,1577.76,1317.69,1425.27,1315.51
610,2,2,1807.88,661.361,1905.93,768.181,1799.59,865.781,1701.55,758.96
620,0,0,1425.45,1161.35,1578.87,1162.34,1577.87,1317.73,1424.45,1316.74
620,1,1,1759.02,899.845,1856.02,902.814,1853.05,999.991,1756.04,997.021
620,2,2,1757.54,699.799,1866.7,601.914,1967.58,714.405,1858.42,812.29
625,0,0,1423.29,1162.15,1577.19,1160.88,1578.46,1316.1,1424.56,1317.36
625,1,0,1613.89,613.496,1762.83,614.082,1762.18,779.395,1613.24,778.809
625,2,1,1754.58,901.965,1851.33,900.792,1852.48,995.175,1755.73,996.348
634,0,2,1638.63,1428,1590.61,1287.72,1726.58,1241.17,1774.6,1381.45
634,1,2,1685.73,602.776,1786.13,708.848,1680.94,808.415,1580.54,702.343
634,2,1,1756.73,997.236,1755.31,898.773,1850.07,897.41,1851.49,995.872
640,0,1,1757.37,900.239,1852.49,900.949,1851.78,996.722,1756.66,996.012
640,1,0,1524.16,772.353,1524.71,605.738,1674.82,606.234,1674.27,772.848
640,2,2,1640.78,1427.95,1592.81,1286.98,1728.49,1240.81,1776.46,1381.78
645,0,0,1850.81,1157.3,2010.36,1160.91,2006.79,1318.96,1847.24,1315.36
645,1,0,1525.29,604.596,1675.01,605.33,1674.19,773.318,1524.47,772.584
645,2,1,1852.76,994.443,1756.68,994.443,1756.68,898.89,1852.76,898.891
662,0,0,1608.76,1219.68,1759.52,1218.98,1760.24,1375.98,1609.48,1376.67
662,1,1,1851.86,848.561,1949.08,848.005,1949.61,942.01,1852.4,942.566
662,2,2,1495.98,704.443,1639.36,693.588,1651.12,848.897,1507.74,859.752
663,0,1,1854.85,847.053,1950.41,847.755,1949.71,943.289,1854.15,942.586
663,1,2,1489.47,860.649,1477.02,708.922,1620.9,697.119,1633.35,848.847
663,2,0,1609.44,1226.73,1763.63,1226.73,1763.63,1376.79,1609.44,1376.79
667,0,2,1513.64,1381.53,1471,1241.63,1609.04,1199.55,1651.68,1339.45
667,1,2,1430.98,863.428,1418.21,715.479,1558.47,703.375,1571.24,851.324
667,2,1,1851.84,846.316,1950.9,846.935,1950.3,943.482,1851.23,942.863
673,0,1,1852.68,846.945,1950.26,847.69,1949.52,944.424,1851.94,943.679
673,1,2,1513.38,1381.54,1471.92,1241.15,1609.72,1200.46,1651.18,1340.84
673,2,0,1644.3,646.439,1796.06,647.169,1795.26,811.964,1643.51,811.234
677,0,0,1642.51,647.41,1793.46,645.474,1795.57,810.083,1644.62,812.018
677,1,0,1731.23,1193.65,1888.03,1193.02,1888.66,1350.49,1731.87,1351.12
677,2,1,1853.68,847.195,1950.71,847.965,1949.95,944.095,1852.92,943.325
683,0,1,1852.01,845.818,1950.14,845.818,1950.14,943.206,1852.01,943.206
683,1,0,1733.07,1193.77,1889.18,1194.52,1888.44,1351.34,1732.32,1350.6
697,0,2,1810.07,1336.03,1739.74,1205.67,1867.11,1136.94,1937.45,1267.3
697,1,1,1850.54,846.807,1948.3,845.28,1949.81,941.637,1852.05,943.164
704,0,2,1785.08,1149.42,1937.58,1164.27,1923.5,1308.8,1771,1293.95
704,1,1,1852.31,846.801,1950.3,846.801,1950.3,942.267,1852.31,942.267
714,0,1,1851.57,846.021,1951.52,847.001,1950.56,944.949,1850.61,943.969
714,1,2,1757.3,1514.77,1667.66,1400.54,1782.88,1310.12,1872.52,1424.35
719,0,2,1782.04,1546.15,1691.99,1430.92,1806.36,1341.53,1896.41,1456.76
719,1,1,1853.36,846.587,1950.96,847.871,1949.69,944.185,1852.09,942.901
728,0,1,1853.33,846.663,1951.3,848.147,1949.83,944.547,1851.87,943.063
728,1,2,1779.76,1544.19,1690.27,1427.86,1805.79,1339,1895.27,1455.33
728,2,2,1586.15,721.572,1722.94,675.642,1770.88,818.413,1634.09,864.343
730,0,2,1576.8,721.253,1714.11,675.994,1762.31,822.235,1625,867.495
730,1,2,1780.39,1544.19,1689.87,1428.63,1805.36,1338.17,1895.87,1453.72
730,2,1,1852.56,846.875,1949.81,846.502,1950.17,941.896,1852.92,942.268
750,0,2,1830.36,1318.04,1759.74,1190.25,1888.65,1119.01,1959.27,1246.8
750,1,2,1812.99,972.229,1740.69,846.684,1866.79,774.061,1939.09,899.606
754,0,1,1538.88,1127.49,1633.04,1126.93,1633.64,1227.24,1539.48,1227.8
754,1,2,1829.24,1318.6,1759.74,1190.25,1891.67,1118.81,1961.17,1247.16
754,2,2,1740.72,845.191,1867.39,774.011,1939.09,901.61,1812.43,972.79
755,0,2,1829.8,1318.04,1759.74,1191.37,1890.65,1118.97,1960.71,1245.64
755,1,2,1813.55,973.35,1740.69,845.003,1866.84,773.386,1939.7,901.733
755,2,1,1540.62,1131.44,1635.33,1132,1634.76,1229.49,1540.04,1228.92
760,0,1,1543.76,1129.27,1637.96,1132.84,1634.18,1232.76,1539.97,1229.19
760,1,2,1830.07,1318.33,1761.02,1190.89,1892.22,1119.8,1961.28,1247.24
760,2,2,1805.98,771.178,1757.25,906.499,1619.56,856.913,1668.3,721.592
762,0,2,1661.4,743.348,1797.14,793.296,1747.81,927.358,1612.07,877.409
762,1,2,1830.08,1318.44,1760.88,1189.79,1892.6,1118.93,1961.8,1247.58
762,2,1,1307.86,1128.25,1400.46,1131.1,1397.35,1232.2,1304.75,1229.35
771,0,2,1634.86,818.726,1769.11,868.591,1718.6,1004.59,1584.34,954.729
771,1,2,1761.26,1190.5,1892.17,1120.49,1960.51,1248.28,1829.6,1318.29
780,0,1,1386.95,968.84,1484.2,971.523,1481.54,1067.92,1384.29,1065.24
780,1,2,1635.7,818.761,1769.94,869.78,1718.62,1004.81,1584.38,953.791
780,2,2,1830.22,1318.11,1760.42,1190.79,1891.96,1118.67,1961.77,1245.99
800,0,1,1381.05,822.452,1477.77,823.286,1476.95,919.125,1380.23,918.291
800,1,2,1830.53,1318.29,1760.31,1190.9,1891.34,1118.68,1961.56,1246.06
800,2,0,1654.72,715.3,1806.31,715.989,1805.58,876.522,1653.99,875.833
828,0,0,1781.96,794.391,1939.04,795.326,1938.08,955.165,1781.01,954.23
828,1,1,1255.51,975.743,1352.75,976.678,1351.84,1071.1,1254.6,1070.17
828,2,2,1830.09,1318.85,1760.24,1190.47,1890.04,1119.85,1959.89,1248.23
839,0,2,1829.9,1317.42,1760.55,1190.34,1891.96,1118.63,1961.31,1245.71
839,1,0,1780.61,796.397,1938.61,796.834,1938.17,952.624,1780.18,952.187
862,0,2,1722.68,1394.36,1681.79,1251.99,1820.67,1212.11,1861.55,1354.48
862,1,2,1690.38,714.423,1804.26,802.503,1710.14,924.2,1596.26,836.12
888,0,0,1416.81,1168.96,1570.45,1172.69,1566.6,1331.46,1412.95,1327.73
888,1,0,1601.04,836.312,1751.25,837.467,1750.06,992.284,1599.85,991.128
